date;plate_id;plate_name;sample_id;well_A01;well_01A;tissue_id;dna_person;notes;tissue_type;extraction
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A01;A01;01A;9624-09;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A02;A02;02A;BGM-0004;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A03;A03;03A;BGM-0005;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A04;A04;04A;BGM-0006;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A05;A05;05A;BGM-0014;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A06;A06;06A;BGM-0018;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A07;A07;07A;BGM-0019;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A08;A08;08A;BGM-0020;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A09;A09;09A;BGM-0021;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A10;A10;10A;BGM-0022;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A11;A11;11A;BGM-0023;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_A12;A12;12A;BGM-0024;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B01;B01;01B;BGM-0025;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B02;B02;02B;BGM-0027;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B03;B03;03B;BGM-0028;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B04;B04;04B;BGM-0029;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B05;B05;05B;BGM-0030;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B06;B06;06B;BGM-0032;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B07;B07;07B;BGM-0036;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B08;B08;08B;BGM-0037;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B09;B09;09B;BGM-0039;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B10;B10;10B;BGM-0040;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B11;B11;11B;BGM-0042;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_B12;B12;12B;BGM-0044;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_C01;C01;01C;BGM-0047;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate01;EmbrapaBAG.Plate01_C02;C02;02C;BGM-0049;EMBRAPA;;Leaf;
