studyDbId;studyName;studyDescription;trialType;breedingProgramDbId;breedingProgramName;breedingProgramDescription;studyYear;studyDesign;locationDbId;locationName;plantingDate;harvestDate;plotWidth;plotLength;plantsPerPlot;numberBlocks;numberReps;fieldSize;fieldTrialIsPlannedToBeGenotyped;fieldTrialIsPlannedToCross;folderDbId;folderName;folderDescription;managementFactors
10729;BR.AYT.14.NH1;Advanced yield trial with 2011 clones at NH1, Laje, Bahia, Brazil;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2014;CRD;293;Laje (BA)-Novo Horizonte 1;;;2.7;6.4;24;3;3;;no;no;10462;BR2014;; No ManagementFactor: 
10730;BR.AYT.15.NH1;Advanced yield trial with 2012 clones at NH1, Laje, Bahia, Brazil;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2015;CRD;293;Laje (BA)-Novo Horizonte 1;;;2.7;6.4;24;3;3;;no;no;10464;BR2015;; No ManagementFactor: 
10732;BR.AYT.15.SAm;Advanced yield trial with 2011 clones at Santo Amaro, Bahia, Brazil;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2015;CRD;504;Santo Amaro (BA);;;2.7;6.4;24;3;3;;no;no;10464;BR2015;; No ManagementFactor: 
6793;BR.AYT.19.Candeal;Trial to evaluate clones 2017.;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2019;RCBD;299;Cruz das Almas (BA)-UFRB-Candeal;2019-September-24;;3.6;6.4;;3;90;;no;no;7631;BR.AYT.19;; No ManagementFactor: 
6794;BR.AYT.19.NH2;Trial to evaluate clones 2017;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2019;RCBD;297;Laje (BA)-Novo Horizonte 2A;2019-September-24;;3.6;6.4;;3;1;;no;no;7631;BR.AYT.19;; No ManagementFactor: 
10750;BR.AYT.19.NH2B;Advanced yield trial with 2017 clones at NH2B, Laje, Bahia, Brazil;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2019;CRD;301;Laje (BA)-Novo Horizonte 2B;;;3.6;6.4;32;3;3;;no;no;4892;BR2019;; No ManagementFactor: 
6796;BR.AYT.19.RA1;Trial to evaluate clones 2017;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2019;RCBD;294;Laje (BA)-Rio de Areia 1;2019-September-25;;3.6;6.4;;3;90;;no;no;7631;BR.AYT.19;; No ManagementFactor: 
7605;BR.AYT.20.Alc;Advanced yield trials from EMBRAPA clones selected from preliminary evaluation trials of 2019;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;RCBD;435;Alcobaca (BA);2020-July-28;;3.6;8;;3;3;;no;no;7630;BR.AYT.20;; No ManagementFactor: 
7440;BR.AYT.20.Candeal;Advanced yield trials from EMBRAPA clones selected from preliminary evaluation trials of 2019;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;RCBD;299;Cruz das Almas (BA)-UFRB-Candeal;2020-June-16;;2.7;6.4;;3;3;;no;no;7630;BR.AYT.20;; No ManagementFactor: 
10752;BR.AYT.20.NH1;Advanced yield trial with 2018 clones at NH1, Laje, Bahia, Brazil;"Advanced Yield Trial""";3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;CRD;293;Laje (BA)-Novo Horizonte 1;;;1.8;3.2;8;3;3;;no;no;;;; No ManagementFactor: 
7637;BR.AYT.20.RA1;Advanced yield  trials from EMBRAPA clones selected  from preliminary evaluation trials of 2019;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;RCBD;294;Laje (BA)-Rio de Areia 1;2020-June-16;;2.7;6.4;;3;3;;no;no;7630;BR.AYT.20;; No ManagementFactor: 
7271;BR.AYT.20.Roque;"Advanced yield trials from EMBRAPA clones selected from preliminary evaluation trials of 2019""";Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;RCBD;431;Laje (BA)-Roque;;;;;;3;3;;no;no;7238;BR.AYT.20.;; No ManagementFactor: 
10078;BR.AYT.21.Candeal;Advanced yield trial located at UFRB-Candeal. ;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2021;RCBD;299;Cruz das Almas (BA)-UFRB-Candeal;;;;;;3;1;;no;no;10083;BR.AYT.21;; No ManagementFactor: 
10079;BR.AYT.21.NH1;Advanced yield trial located at Laje (BA) - Novo Horizonte 1. ;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2021;RCBD;293;Laje (BA)-Novo Horizonte 1;;;;;;3;1;;no;no;10083;BR.AYT.21;; No ManagementFactor: 
10080;BR.AYT.21.PP1;Advanced yield trial located at UFRB-PP1. ;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2021;RCBD;298;Cruz das Almas (BA)-UFRB-PP1;;;;;;3;1;;no;no;10083;BR.AYT.21;; No ManagementFactor: 
10082;BR.AYT.21.SJ;Advanced yield trial located at Laje (BA) Sao Jose farm. ;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2021;RCBD;489;Laje (BA)-Fazenda Sao Jorge;;;;;;3;1;;no;no;10083;BR.AYT.21;; No ManagementFactor: 
10081;BR.AYT.21.SerraAimores;Advanced yield trial located at Serra do Aimores (BA) - field Cachoeira da Mata. ;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2021;RCBD;488;Serra dos Aimores (MG)-Cachoeira da Mata;;;;;;3;1;;no;no;10083;BR.AYT.21;; No ManagementFactor: 
11266;BR.AYT.Ind.22.CMa;Ensaio avan�ado para avalia��o de GS (genomic selection) ciclo 2 e waxy. ;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2022;RCBD;523;Cora��o de Maria (BA);;;2.7;4.9;21;3;1;;no;no;;;; No ManagementFactor: 
11263;BR.AYT.Ind.22.Candeal;Ensaio avan�ado para avalia��o de GS (genomic selection) ciclo 2 e waxi, Foram avaliados os tratamento de 8MP e 16cm;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2022;RCBD;299;Cruz das Almas (BA)-UFRB-Candeal;;;2.7;4.9;21;6;1;;no;no;;;; BR.AYT.Ind.22.Candeal_Treat_16MP: No description BR.AYT.Ind.22.Candeal_Treat_8MP: No description
11268;BR.AYT.Ind.22.Estab;Ensaio avan�ado para avalia��o de GS (genomic selection) ciclo 2 e waxy. Foi avaliado o tratamento de 16cm;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2022;RCBD;521;Cruz Das Almas (BA) - UFRB - Estabulo;;;2.7;4.9;21;3;1;;no;no;;;; BR.AYT.Ind.22.Estab_Treat_16CM: No description
11303;BR.AYT.M.22.NH;GS-C2 clone - low cyanide content - Advanced yield trial located at Novo Horizonte I (NH) field - Laje (BA);Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2022;RCBD;293;Laje (BA)-Novo Horizonte 1;;;2.7;4.9;21;3;1;;no;no;;;; No ManagementFactor: 
11304;BR.AYT.M.22.NH1;GS-C2 clone - low cyanide content - Advanced yield trial located at Novo Horizonte I (NH1) field - Laje (BA);Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2022;RCBD;293;Laje (BA)-Novo Horizonte 1;;;2.7;4.9;21;3;1;;no;no;;;; No ManagementFactor: 
11305;BR.AYT.M.22.Pureza;GS-C2 clone - low cyanide content - Advanced yield trial located at Pureza (RN).;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2022;RCBD;533;Pureza (RN);;;1.8;4.8;12;3;1;;no;no;;;; No ManagementFactor: 
7518;BR.AYTGS.20.Ala;Clones selected from Preliminary Yield Trials from recurrent population assisted by genomic selection;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;RCBD;444;Alagoinhas (BA);2020-July-28;2021-June-17;3.6;6.4;;3;3;;no;no;7632;BR.AYTGS.20;; No ManagementFactor: 
10530;BR.AYTGS.20.NH;Advanced yield trial - GS C1 population;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;RCBD;293;Laje (BA)-Novo Horizonte 1;;;3.6;6.4;;3;1;;no;no;7632;BR.AYTGS.20;; No ManagementFactor: 
7710;BR.AYTGS.20.PP1;Clones Selected from Preliminary Yield Trials from recurrent population assisted by genomic selection;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;RCBD;298;Cruz das Almas (BA)-UFRB-PP1;2020-August-20;2021-June-11;3.6;6.4;16;3;3;;no;no;7632;BR.AYTGS.20;; No ManagementFactor: 
7635;BR.AYTGS.20.RA1;Clones selected from Preliminary Yield Trials from recurrent population assisted by genomic selection;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;RCBD;294;Laje (BA)-Rio de Areia 1;2020-August-11;2021-July-01;3.6;6.4;;3;3;;no;no;7632;BR.AYTGS.20;; No ManagementFactor: 
7603;BR.AYTGS.20.TF;Clones selected from Preliminary Yield Trials from recurrent selection assisted by genomic selection;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;RCBD;436;Teixeira de Freitas (BA);2020-July-29;;3.6;8;;3;3;;no;no;7632;BR.AYTGS.20;; No ManagementFactor: 
11272;BR.AYTM.22.Candeal;Ensaio avan�ado para avalia��o de GS (genomic selection) ciclo 2 .;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2022;RCBD;299;Cruz das Almas (BA)-UFRB-Candeal;;;2.7;4.9;21;3;1;;no;no;;;; No ManagementFactor: 
11273;BR.AYTM.22.Estab;Ensaio avan�ado para avalia��o de GS (genomic selection) ciclo 2 .;Advanced Yield Trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2022;RCBD;521;Cruz Das Almas (BA) - UFRB - Estabulo;;;2.7;4.9;21;3;1;;no;no;;;; No ManagementFactor: 
10480;BR.BAG-C.PT.13.EA2;BAG 2012/2013 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2013;RCBD;37;Cruz Das Almas (BA)-CNPMF-Area 2;;;1.8;6.4;8;2;2;;no;no;10460;BR2013;; No ManagementFactor: 
10476;BR.BAG.PT.12.Citrus;BAG 2011/2012 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2012;RCBD;501;Cruz Das Almas (BA) CNPMF - Citrus;;;1.8;8;8;11;11;;no;no;10461;BR2012;; No ManagementFactor: 
6392;BR.BAG.PT.19.UFRB;Training population (T0) at UFRB-Candeal station trial in Cruz das Almas, BA;phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2019;Augmented;37;Cruz Das Almas (BA)-CNPMF-Area 2;2019-June-25;;1.8;8;;15;1;;no;no;4892;BR2019;; No ManagementFactor: 
6399;BR.BAG.Rec.PT.19.UFRB;Training population (T0) - BAG Recuperation - at UFRB-Candeal station trial in Cruz das Almas, BA;phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2019;CRD;299;Cruz das Almas (BA)-UFRB-Candeal;2019-July-05;;1.8;6.4;;1;1;;no;no;4892;BR2019;; No ManagementFactor: 
6237;BR.BAG.TP.19.CNPMF;Embrapa BAG trial at Greenhouse;crossing_block_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2019;CRD;37;Cruz Das Almas (BA)-CNPMF-Area 2;;;;;;1;1;;yes;yes;4892;BR2019;; No ManagementFactor: 
7802;BR.BAG.TP.20.CNPMF;KASP HCN plate genotyping;Seed Multiplication;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2020;CRD;37;Cruz Das Almas (BA)-CNPMF-Area 2;;;;;;1;1;;yes;no;10532;BR.PT.20;; No ManagementFactor: 
10488;BR.BAG1.1.PT.15.EA2;BAG 2014/2015 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2015;RCBD;37;Cruz Das Almas (BA)-CNPMF-Area 2;;;1.8;6.4;8;10;10;;no;no;10464;BR2015;; No ManagementFactor: 
10497;BR.BAG1.1.PT.16.EA2;BAG 2015/2016 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2016;RCBD;37;Cruz Das Almas (BA)-CNPMF-Area 2;;;1.8;6.4;8;10;10;;no;no;10465;BR2016;; No ManagementFactor: 
8634;BR.BAG1.18.UFRB;Phenotyping trial BAG 2018 (NIR data evaluation) at UFRB-Candeal;phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2018;Augmented;299;Cruz das Almas (BA)-UFRB-Candeal;;;1.8;6.4;;22;1;;no;no;11233;BR.PT.18;; No ManagementFactor: 
8635;BR.BAG1.18.UFRB.7MAP;Phenotyping trial BAG 2018 7MAP (NIR data evaluation) at UFRB-Candeal;phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2018;Augmented;299;Cruz das Almas (BA)-UFRB-Candeal;;;0.9;6.5;;22;1;;no;no;11233;BR.PT.18;; No ManagementFactor: 
10489;BR.BAG1.2.PT.15.EA2;BAG 2014/2015 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2015;RCBD;37;Cruz Das Almas (BA)-CNPMF-Area 2;;;1.8;6.4;8;10;10;;no;no;10464;BR2015;; No ManagementFactor: 
10473;BR.BAG1.PT.11.EA1;BAG 2010/2011 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2011;RCBD;500;Cruz Das Almas (BA) - CNPMF - Area 1 (Ladeira maracuja);;;1.8;8;8;3;3;;no;no;10459;BR2011;; No ManagementFactor: 
10474;BR.BAG1.PT.12.EA1;BAG 2011/2012 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2012;RCBD;500;Cruz Das Almas (BA) - CNPMF - Area 1 (Ladeira maracuja);;;1.8;6.4;8;9;9;;no;no;10461;BR2012;; No ManagementFactor: 
10477;BR.BAG1.PT.13.NH1A;BAG 2012/2013 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2013;RCBD;502;Laje (BA)-Novo Horizonte 1A;;;1.8;6.4;8;3;3;;no;no;10460;BR2013;; No ManagementFactor: 
10484;BR.BAG1.PT.14.EA2;BAG 2013/2014 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2014;RCBD;37;Cruz Das Almas (BA)-CNPMF-Area 2;;;1.8;6.4;8;3;3;;no;no;10462;BR2014;; No ManagementFactor: 
10482;BR.BAG1.PT.14.NH1A;BAG 2013/2014 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2014;RCBD;502;Laje (BA)-Novo Horizonte 1A;;;1.8;4.8;8;10;10;;no;no;10462;BR2014;; No ManagementFactor: 
10490;BR.BAG1.PT.15.NH;BAG 2014/2015 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2015;RCBD;293;Laje (BA)-Novo Horizonte 1;;;1.8;6.4;8;12;12;;no;no;10464;BR2015;; No ManagementFactor: 
10496;BR.BAG1.PT.16.EA2;BAG 2015/2016 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2016;RCBD;37;Cruz Das Almas (BA)-CNPMF-Area 2;;;1.8;6.4;8;9;9;;no;no;10465;BR2016;; No ManagementFactor: 
10499;BR.BAG1.PT.17.EA2;BAG 2016/2017 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2017;RCBD;37;Cruz Das Almas (BA)-CNPMF-Area 2;;;1.8;6.4;8;12;12;;yes;no;5632;BR2017;; No ManagementFactor: 
10500;BR.BAG1.PT.18.Candeal;BAG 2017/2018 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2018;RCBD;299;Cruz das Almas (BA)-UFRB-Candeal;;;1.8;6.4;8;12;12;;yes;no;11233;BR.PT.18;; No ManagementFactor: 
10525;BR.BAG1.Rec1.PT.18.Candeal;BAG Rec 2018/2019 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2018;RCBD;299;Cruz das Almas (BA)-UFRB-Candeal;;;;;;4;4;;no;no;11233;BR.PT.18;; No ManagementFactor: 
10526;BR.BAG1.Rec2.PT.18.Candeal;BAG Rec 2018/2019 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2018;RCBD;299;Cruz das Almas (BA)-UFRB-Candeal;;;;;;4;4;;no;no;11233;BR.PT.18;; No ManagementFactor: 
10516;BR.BAG2.PT.11.EA1;BAG 2010/2011 - Training population (T0);phenotyping_trial;3876;Embrapa;Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca;2011;RCBD;500;Cruz Das Almas (BA) - CNPMF - Area 1 (Ladeira maracuja);;;1.8;5.6;8;3;3;;no;no;10459;BR2011;; No ManagementFactor: 
