"trial","trial_type","CMa","Candeal","Estab","NH","NH1","Pureza","CNPMF","Podium","Jagua","Lon"
"BR.AYTIND.22","AYTIND",210,433,72,351,NA,NA,NA,NA,NA,NA
"BR.AYTM.22","AYTM",NA,106,87,71,73,93,NA,NA,NA,NA
"BR.CB.22","CB",NA,NA,NA,NA,NA,NA,196,NA,NA,NA
"BR.CBGS-C4.22","CBGS-C4",NA,NA,NA,NA,NA,NA,110,NA,NA,NA
"BR.CET.22","CET",NA,NA,NA,NA,NA,NA,832,NA,NA,NA
"BR.MULT.22","MULT",NA,NA,31,NA,NA,NA,NA,NA,NA,NA
"BR.MULTGS-C3.22","MULTGS-C3",NA,NA,NA,NA,NA,NA,NA,538,NA,NA
"BR.MULTGS.22","MULTGS",NA,NA,NA,807,NA,NA,NA,NA,NA,NA
"BR.PTBAG.22","PTBAG",NA,2585,NA,NA,NA,NA,NA,NA,NA,NA
"BR.PYT.22","PYT",NA,424,NA,NA,NA,NA,NA,NA,212,NA
"BR.PYTO.22","PYTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,98
