"trial","trial_type","locate","n"
"BR.UYT.22","UYT","Jagua",117
"BR.UYT.22","UYT","TRAC",78
"BR.UYT.22","UYT","WD",324
"BR.UYTGS.22","UYTGS","CMa",114
"BR.UYTGS.22","UYTGS","Candeal",111
"BR.UYTGS.22","UYTGS","Estab",111
"BR.UYTGS.22","UYTGS","NH",117
"BR.UYTGS.22","UYTGS","NH1",117
"BR.UYTGS.22","UYTGS","TRAC",111
"BR.UYTGS.22","UYTGS","COMG",153
"BR.UYTGS.22","UYTGS","CoC",117
"BR.UYTGS.22","UYTGS","CoH",117
"BR.UYTGS.22","UYTGS","ER",117
"BR.UYTGS.22","UYTGS","Esp",117
"BR.UYTGS.22","UYTGS","IFGua",111
"BR.UYTGS.22","UYTGS","Itam",150
"BR.UYTGS.22","UYTGS","ItiBA",111
"BR.UYTGS.22","UYTGS","LagDa",114
"BR.UYTGS.22","UYTGS","Mara",99
"BR.UYTGS.22","UYTGS","Mont",147
"BR.UYTGS.22","UYTGS","PaMG",153
"BR.UYTGS.22","UYTGS","Quiss",108
"BR.UYTGS.22","UYTGS","SDAP",117
"BR.UYTGS.22","UYTGS","SerAim",150
"BR.UYTGS.22","UYTGS","TF",150
"BR.UYTGS.22","UYTGS","VitConq",126
