"Trait","2011/2012","2012/2013","2013/2014","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022"
"amylose.content.in.ug.g.percentage.CO_334.0000075","x","x",NA,"x",NA,NA,NA,NA,NA,NA,NA
"cassava.anthractnose.disease.incidence.in12.month.CO_334.0000183",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"cassava.anthractnose.disease.severity.in.6.month.CO_334.0000184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cassava.anthractnose.disease.severity.in12.month.CO_334.0000186",NA,NA,"x","x",NA,"x","x","x","x","x","x"
"cassava.bacterial.blight.incidence.12.month.evaluation.CO_334.0000211",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"cassava.bacterial.blight.incidence.6.month.evaluation.CO_334.0000179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cassava.bacterial.blight.severity.12.month.evaluation.CO_334.0000212",NA,NA,"x","x","x","x","x","x","x","x","x"
"cassava.blight.leaf.spot.disease.incidence.in.proportion.CO_334.0002121",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"cassava.blight.leaf.spot.disease.severity.by.visual.rating.1.5.CO_334.0002120",NA,"x","x","x","x","x",NA,"x","x","x","x"
"cassava.brown.leaf.spot.disease.incidence.in.proportion.CO_334.0002119",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"cassava.brown.leaf.spot.disease.severity.by.visual.rating.1.5.CO_334.0002118",NA,"x","x","x","x","x",NA,"x","x","x","x"
"cassava.mosaic.disease.incidence.12.month.evaluation.CO_334.0000200",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA
"cassava.rust.disease.severity.evaluation.CO_334.0002043",NA,NA,NA,NA,NA,"x","x","x","x","x",NA
"cassava.rust.disease.severity.evaluation.month.12.COMP.0000180",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA
"cassava.white.leaf.spot.disease.incidence.in.proportion.CO_334.0002117",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"cassava.white.leaf.spot.disease.severity.by.visual.rating.1.5.CO_334.0002116",NA,"x","x","x","x","x",NA,"x","x","x","x"
"days.to.first.female.flower.open.on.the.first.branch.visual.observation.CO_334.0000513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"days.to.first.flower.opens.visual.observation.CO_334.0000299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dry.matter.content.by.QST.in.percentage.CO_334.0002058",NA,NA,NA,NA,NA,NA,NA,NA,"x","x","x"
"dry.matter.content.by.specific.gravity.method.CO_334.0000160","x","x","x","x","x","x","x","x","x","x","x"
"dry.matter.content.percentage.CO_334.0000092",NA,NA,NA,NA,NA,NA,NA,"x","x","x","x"
"dry.yield.CO_334.0000014","x","x","x","x","x","x","x","x","x","x","x"
"first.apical.branch.height.measurement.in.cm.month.6.COMP.0000083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flowering.ability.visual.assessment.0.3.CO_334.0000233",NA,NA,"x","x","x","x",NA,"x","x","x","x"
"fresh.shoot.weight.measurement.in.kg.per.plot.CO_334.0000016","x","x","x","x","x","x","x","x","x","x","x"
"fresh.storage.root.weight.per.plant.CO_334.0000304",NA,NA,NA,NA,NA,"x",NA,NA,NA,"x",NA
"fresh.storage.root.weight.per.plot.CO_334.0000012","x","x","x","x","x","x","x","x","x","x","x"
"frog.skin.disease...visual.1.5.CO_334.0000093",NA,NA,"x","x","x","x","x","x","x","x","x"
"germination.count.CO_334.0000166",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"harvest.index.variable.CO_334.0000015","x","x","x","x","x","x","x","x","x","x","x"
"hydrogen.cyanide.potential.picrate.method.1.9.CO_334.0000091","x",NA,"x","x","x","x","x","x","x","x","x"
"initial.plant.vigor.assessment.1.5.CO_334.0000220",NA,"x",NA,NA,NA,NA,NA,NA,"x","x",NA
"leaf.retention.visual.rating.1.5.CO_334.0000048",NA,NA,NA,NA,"x","x","x","x","x","x","x"
"marketable.root.weight.measurement.in.kg.CO_334.0000131","x","x","x","x","x","x","x","x","x","x","x"
"non.marketable.root.weight.measurement.in.kg.CO_334.0000132","x","x","x","x","x","x","x","x","x","x","x"
"number.of.planted.stakes.per.plant.counting.CO_334.0000300",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA
"percentage.leaf.retention.at.6.months.after.planting.CO_334.0000253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plant.architecture.visual.rating.1.5.CO_334.0000099",NA,NA,"x","x","x","x","x","x","x","x","x"
"plant.architecture.visual.rating.1.5.month.8.COMP.0000119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plant.height.measurement.in.cm.CO_334.0000018","x","x","x","x","x","x","x","x","x","x","x"
"plant.height.measurement.in.cm.month.12.COMP.0000181",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA
"plant.height.measurement.in.cm.month.3.COMP.0000080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plant.height.measurement.in.cm.month.4.COMP.0000120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x"
"plant.height.measurement.in.cm.month.6.COMP.0000081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plant.height.measurement.in.cm.month.8.COMP.0000118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plant.height.without.leaf.CO_334.0000125",NA,NA,NA,NA,NA,NA,NA,"x","x","x",NA
"plant.height.without.leaf.month.12.COMP.0000182",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA
"plant.stands.harvested.counting.CO_334.0000010","x","x","x","x","x","x","x","x","x","x","x"
"presence.of.pollen.visual.observation.0.1.CO_334.0000260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"red.spider.mite.severity...visual.1.5.CO_334.0000044",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA
"root.constriction.visual.rating.1.3.CO_334.0000109",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x"
"root.flesh.color.visual.rating.1.3.CO_334.0000222",NA,NA,"x",NA,"x","x","x","x","x","x","x"
"root.length.measurement.in.cm.CO_334.0001034","x","x",NA,"x","x","x","x",NA,NA,"x",NA
"root.number.per.plot.counting.CO_334.0000011",NA,NA,NA,NA,NA,"x",NA,"x","x","x","x"
"root.surface.color.visual.rating.1.3.CO_334.0000053","x","x","x","x","x","x","x","x","x","x","x"
"rotted.storage.root.counting.CO_334.0000084",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA
"spiraling.whitefly.incidence.by.proportion.CO_334.0000043",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"sprout.count.at.three.month.CO_334.0000214",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA
"starch.content.percentage.CO_334.0000071",NA,NA,NA,NA,NA,NA,"x",NA,"x","x","x"
